age,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,y,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,contact_telephone,contact_unknown
41,0,-0.6691137194374615,1,1,18,7,-0.43165943206281754,4,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
43,0,-0.034246709509351256,0,0,20,10,0.20905515078591994,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
25,0,-0.41194824154107745,0,0,29,0,0.18187331999839773,3,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
36,0,-0.28977000683168425,0,0,20,10,-0.17537359892332255,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
50,0,-0.21587188099939,0,0,5,6,0.9546139381008144,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
65,0,-0.34626101857903807,0,0,1,11,0.5507695949719132,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
65,0,0.3460823114408565,0,0,17,3,-0.1443086494518686,2,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
30,0,-0.3354226267903016,1,0,20,9,0.8536528523185891,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
48,0,-0.38140368286372917,0,0,11,1,-0.4588412628503397,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
39,0,-0.44249280021842574,1,0,30,0,0.9779126502044049,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
57,0,-0.39191363853765543,0,0,3,3,0.43039291577002925,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
29,0,-0.3068486848018145,0,0,22,8,0.13527589579121682,2,-0.4114531064930479,-0.25194037067217256,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
35,0,-0.2162003171142002,0,0,21,0,-0.3656464144359779,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
30,0,-0.3643250048935989,1,0,5,8,0.0032498605375375993,1,-0.4114531064930479,-0.25194037067217256,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,0,0.17069742613221148,0,0,25,1,0.9274321073132922,5,-0.4114531064930479,-0.25194037067217256,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
28,0,0.3746562534293436,0,0,25,8,0.6517306807541385,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
31,0,-0.17645954722216642,1,0,21,8,0.9623801754686779,2,-0.4114531064930479,-0.25194037067217256,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
29,0,-0.4467624697109583,1,1,21,0,0.46922410260934666,5,-0.4114531064930479,-0.25194037067217256,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
61,0,-0.1199685354748126,0,0,10,7,-0.590867298104019,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20,0,0.4672752378058191,0,0,16,11,0.2673019310448961,2,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
37,0,-0.4474193419405787,1,0,2,6,-0.5869841794200872,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
39,0,0.07380877226320345,1,0,2,6,-0.3384645836484557,3,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
61,0,-0.4221297611001935,0,0,6,1,0.764341122588159,4,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
33,0,-0.08384056284569096,1,0,18,7,-0.22197102313050343,1,-0.4114531064930479,-0.25194037067217256,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
39,0,-0.10354672973430275,0,0,6,6,1.1487698722974016,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
32,0,-0.2651372982209195,1,0,9,11,0.33331494867173567,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
24,0,-0.03687419842783283,0,0,25,7,0.5934839004951624,2,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
37,0,0.19959980423550877,1,0,5,9,-0.020048851566052853,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
27,0,-0.37746244948600677,0,0,27,7,0.4653409839254149,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
49,0,0.11683390330333922,0,1,5,1,-0.18313983629118602,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,0,0.05607322206345283,1,0,21,9,1.1526529909813332,4,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,0,-0.14722873300405892,0,0,15,6,0.4420422718218245,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
31,0,0.13259883681422865,0,1,5,6,-0.3578801770681144,2,-0.4114531064930479,-0.25194037067217256,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
43,0,0.16150121491752595,0,0,30,0,0.2517694563091691,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
30,0,-0.2756472538948458,0,1,3,7,-0.6801790278344491,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
55,0,-0.27072071217269283,1,0,7,1,0.36826301682712137,2,-0.4114531064930479,-0.25194037067217256,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,0,0.3161946249931286,0,0,2,3,-0.5170880431093159,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
36,0,-0.4474193419405787,0,0,4,5,1.2652634328153538,1,-0.4114531064930479,-0.25194037067217256,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
